ADA-USD,2021-05-23,BULL,New SELL **,2021-05-23,1.21,1.21,0.00,0.00,100.00,-0.27,1
AAVE-USD,2021-05-23,BULL,SELL,2021-05-21,343.75,268.04,0.00,0.00,100.00,-64.36,3
ETC-USD,2021-05-23,BULL,SELL,2021-05-20,73.53,47.05,0.00,0.00,100.00,-12.31,4
EOS-USD,2021-05-23,BULL,SELL,2021-05-20,6.62,4.08,0.00,0.00,100.00,-1.13,4
XLM-USD,2021-05-23,BULL,SELL,2021-05-20,0.49,0.33,0.00,0.00,100.00,-0.07,4
LINK-USD,2021-05-23,BULL,SELL,2021-05-19,30.61,18.40,0.00,0.00,100.00,-5.38,5
ETH-USD,2021-05-23,BULL,SELL,2021-05-19,2680.61,2032.61,0.00,0.00,100.00,-294.09,5
OMG-USD,2021-05-23,BULL,SELL,2021-05-18,8.68,3.99,0.00,0.00,100.00,-1.27,6
LTC-USD,2021-05-23,BULL,SELL,2021-05-18,291.74,135.33,0.00,0.00,100.00,-38.76,6
ZEC-USD,2021-05-23,BULL,SELL,2021-05-18,250.90,104.50,0.00,0.00,100.00,-41.71,6
BCH-USD,2021-05-23,BULL,SELL,2021-05-18,1082.14,523.57,0.00,0.00,100.00,-124.80,6
XTZ-USD,2021-05-23,BULL,SELL,2021-05-17,5.34,2.86,0.00,0.00,100.00,-0.65,7
DASH-USD,2021-05-23,BULL,SELL,2021-05-17,301.74,139.72,0.00,0.00,100.00,-46.05,7
ALGO-USD,2021-05-23,BULL,SELL,2021-05-17,1.34,0.78,0.00,0.00,100.00,-0.21,7
MKR-USD,2021-05-23,BULL,SELL,2021-05-16,4396.56,2409.04,0.00,0.00,100.00,-428.71,8
UNI-USD,2021-05-23,BULL,SELL,2021-05-15,37.90,15.87,0.00,0.00,100.00,-4.93,9
KNC-USD,2021-05-23,BULL,SELL,2021-05-15,2.91,1.36,0.00,0.00,100.00,-0.39,9
BAT-USD,2021-05-23,BULL,SELL,2021-05-15,1.16,0.53,0.00,0.00,100.00,-0.17,9
ZRX-USD,2021-05-23,BULL,SELL,2021-05-14,1.70,0.74,0.00,0.00,100.00,-0.22,10
REN-USD,2021-05-23,BULL,SELL,2021-05-14,0.84,0.35,0.00,0.00,100.00,-0.08,10
BTC-USD,2021-05-23,BULL,SELL,2021-05-13,49347.24,33435.21,0.00,0.00,100.00,-4565.69,11
NU-USD,2021-05-23,BEAR,SELL,2021-05-10,0.42,0.23,0.19,45.24,100.00,-0.07,14
